"WBIC","lakename","max_depth","max_area","lower_depth","lower_area","area_pcnt_loss"
1138400,"35i",27,15.01673889,26,14.4798694512481,3.57514
1831700,"adelaide",21,57.23088854,20,53.3859271837939,6.71833244999999
2329600,"alder",30,264.2953848,29,248.015211968936,6.15983999999999
2449300,"alexander",10,50.11553426,9,46.514733123419,7.185
2165700,"anderson",25,44.56288578,24,42.2068460088114,5.287
2449400,"antler",22,94.02840385,21,90.4471753753663,3.80866666666666
1541500,"arrowhead",43,96.36182269,42,93.2360378855818,3.2438
2410400,"augustine",10,171.1245206,9,169.060188466495,1.20633333333334
2340700,"ballard",25,502.5889546,24,485.885913282824,3.32340000000001
1523500,"bearskin",27,184.0830352,26,177.555450771808,3.546
1405200,"bigbass",13,176.9361856,12,169.790322850901,4.03866666666668
2453300,"bigbass",27,201.2364266,26,195.997571627513,2.60333333333333
1834700,"bigbeaver",43,15.87439418,42,15.5283958844527,2.17959999999999
1835100,"bigdummy",54,113.7264379,53,111.409830359977,2.037
2314300,"bigmartha",55,145.6419076,54,136.204020703705,6.4802
2079000,"bigmoon",48,186.9944919,47,181.278070282617,3.057
2419000,"bigole",30,87.53011287,29,85.5254982250513,2.29020000000001
1374800,"bigrocheacri",20,216.5113271,19,211.94813437004,2.1076
1602600,"bigsand",56,1427.485345,55,1365.86080265635,4.31699999999999
1835500,"bills",25,70.17232018,24,67.969103282641,3.13972360000001
1523800,"birch",27,197.5104327,26,188.832614328893,4.3936
2113000,"birch",73,364.0121439,72,350.917899059629,3.59719999999999
2453500,"birchisland",13,768.0462397,12,729.702811260044,4.99233333333334
2454100,"bluegill",68,20.0919168,67,19.606496090112,2.416
2356800,"bog",9,38.17352988,8,36.6931517004133,3.87802276666666
1619100,"boot",15,285.8222182,14,276.580633144867,3.23333333333333
1836600,"boot",20,31.33390315,19,29.2694495954104,6.58856174
1836700,"boot",44,87.84146043,43,84.2668986002352,4.06933333333334
2297800,"boot",16,177.7055474,15,170.793986309789,3.88933333333333
1537800,"booth",34,204.1477817,33,200.022363327406,2.0208
1541300,"brandy",44,112.7731067,43,109.285034509769,3.093
1782700,"bugle",10,24.57596762,9,20.599147216641,16.1817449666667
2105800,"butternut",14,144.9810406,13,141.987665381745,2.06466666666667
2079400,"camelia",6,61.82618139,5,58.4348092534872,5.48533333333333
2431300,"chippewa",11,281.9427709,10,240.503762242354,14.6976666666667
2425700,"christy",10,121.8764324,9,116.167084099297,4.68453842
1628450,"clair",18,51.47568768,17,49.7785342571904,3.297
1613300,"crooked",13,174.5303912,12,164.930637916029,5.50033333333334
2459100,"crooked",10,168.0282624,9,158.30222647808,5.78833333333333
2459200,"crooked",13,250.3118394,12,231.661104246306,7.451
1612500,"crystal",9,116.3384406,8,108.517782828066,6.72233333333333
1842400,"crystal",67,92.64291244,66,91.0780383902362,1.689146
1842500,"crystal",46,89.70810038,45,86.6562667780207,3.40195990000001
2469700,"crystal",22,14.32766947,21,13.8891472664215,3.06066666666667
1842800,"currier",39,18.39066567,38,17.8988340137722,2.67435483333334
2092700,"dark",62,16.26324778,61,15.6157753593826,3.9812
1843500,"day",57,109.9055078,56,106.946458463966,2.69235764
1445100,"deepwoods",25,71.00241202,24,69.2034475741199,2.53366666666668
2239100,"deer",18,142.5128469,17,127.668233724073,10.4163333333333
2460700,"deer",23,152.8050263,22,148.147223488323,3.04819999999999
1844400,"delano",15,13.53854284,14,12.8337063141527,5.20614761999999
1844500,"dells",42,109.4891255,41,106.029302272909,3.15996973333333
1295400,"delton",16,249.2395494,15,239.154320273078,4.0464
2461100,"devils",24,974.9380945,23,959.521073432307,1.58133333333333
1537100,"diamond",17,117.2806444,16,112.025767847014,4.4806
1844700,"diamond",40,114.8524202,39,112.292896964452,2.22853226
1451700,"dynamite",28,100.4454004,27,97.198000605068,3.23299999999999
1315000,"eaglenestflowage",12,350.4005025,11,305.984902804775,12.6756666666667
1523000,"easthorsehead",26,191.4666162,25,186.954130989398,2.3568
2463300,"ellison",18,118.3879714,17,116.106240564551,1.92733333333334
1764000,"esadore",36,47.5315237,35,45.6529075620827,3.95235833333333
2130100,"fallcreekpond",10,14.96280595,9,10.6114224756607,29.0813333333333
1571100,"fifth",14,237.9843358,13,220.534372361801,7.33239999999999
2175700,"finley",30,57.98676596,29,56.753039527435,2.12759999999999
1849100,"fish",40,106.8392236,39,100.740376821003,5.7084342
2464400,"fish",7,83.16971996,6,79.0178875395968,4.99199999999999
2464500,"fish",29,330.1006409,28,322.5083261593,2.29999999999999
2307300,"fisher",21,441.2113614,20,418.192482253039,5.2172
2343200,"fishtrap",34,339.1014727,33,328.870781268641,3.017
2401100,"fishtrap",11,262.603806,10,254.2617584294,3.17666666666667
1593800,"found",21,336.3575863,20,325.262270719917,3.29866666666667
1572000,"fourth",12,252.9495855,11,229.990869321678,9.0764
2465700,"george",50,49.75568259,49,47.5705788629225,4.39166666666667
2423000,"ghost",12,384.051228,11,366.8457329856,4.48
1589300,"gilmore",24,313.5280476,23,304.480882258454,2.88560000000001
1851000,"goodman",15,13.80442165,14,13.0818706119957,5.2342
2314100,"grandportage",33,147.4983374,32,144.081292583567,2.31666666666667
1764400,"grassyknoll",6,59.11637357,5,58.4437512155575,1.13779366666667
2467200,"green",6,250.939177,5,236.86650795384,5.608
1539700,"gunlock",26,263.8238804,25,253.525075522119,3.90366666666667
2150200,"hallie",13,78.63694176,12,73.5166283588672,6.51133333333334
2328400,"hiawthat",59.04,36.28192137,58.04,35.5805464775162,1.933125
2344000,"high",36,741.0649349,35,725.953138747519,2.0392
1564600,"hilt",64,60.87510888,63,58.1817911461192,4.42433333333334
1568900,"hixon",28,57.50282572,27,54.988112145613,4.3732
1588000,"horsehead",11,377.1936946,10,366.467814700354,2.84359999999999
1513900,"hultamn",14,181.9201652,13,176.837922184863,2.79366666666668
2400600,"hunter",10,133.6977628,9,120.030642695533,10.2224
1249000,"indian",7,64.15873797,6,61.4404284803181,4.23685
1598900,"indian",26,354.4493451,25,331.093259953981,6.58939999999999
2448700,"indian",9,75.70296689,8,73.3990732643143,3.04333333333334
2470600,"island",44,251.9617118,43,245.0327647255,2.75
2470800,"island",51,63.05142549,50,61.8078412079189,1.97233333333334
1855900,"jag",27,161.7092101,26,156.972423917751,2.9292
1857400,"jute",23,190.5657064,22,188.108044006461,1.28966666666667
1598300,"kathan",14,214.0756733,13,192.353414730249,10.147
2166100,"kathyrn",58,63.31307775,57,60.9816791836525,3.68233333333334
2081700,"kidney",32,38.76791886,31,33.0471955266222,14.7563333333333
1631700,"kildare",35,54.29791593,34,49.5128215921422,8.81266666666667
1858200,"kirby",19,97.66029003,18,90.6053106782328,7.224
1858300,"knickerbocker",25,14.73389731,24,14.156328535448,3.91999999999999
1630600,"landingmill",23,125.0610416,22,115.327790854355,7.7828
2475300,"lily",22,188.5016595,21,162.339891181314,13.8788
2475900,"littlebass",4,73.54987361,3,57.4593083504299,21.877080775
2390500,"littlecourtoreilles",46,221.4056032,45,212.544950959936,4.00199999999999
2324000,"littlecrawlingstone",44,113.2990016,43,109.630379928192,3.238
2335500,"littlecrooked",30,153.6770697,29,144.57446950753,5.92319999999999
2107600,"littledevils",34,51.98961022,33,49.860635681491,4.095
1861400,"littledummy",44,42.68678513,43,38.2264429517663,10.449
2332300,"littlejohn",16.4,151.0370109,15.4,146.183335249416,3.21356707317073
1542100,"littlemuskie",19,79.07384454,18,76.2085247092486,3.62359999999999
2313100,"littlepike",20,95.97855422,19,92.6369008905737,3.48166666666667
2477700,"littlesand",21,70.81657421,20,69.3039321848744,2.136
1540400,"littlespider",23,222.6585154,22,218.050226326271,2.06966666666666
1605600,"lonestone",30,170.7664694,29,163.285873441464,4.38060000000001
1000900,"long",20,69.45488397,19,66.4863822291222,4.274
1602300,"long",88,885.843712,87,873.780292329984,1.36179999999999
2165400,"long",15,30.47776275,14,27.9691380980475,8.23099999999999
2478200,"long",17,273.3414847,16,262.180040741417,4.08333333333333
2483100,"long",31,46.70210638,30,45.1453695006667,3.33333333333334
1407000,"lost",23,42.06600283,22,40.618932332648,3.44
1593400,"lost",20,538.570492,19,522.530067513267,2.97833333333333
2166600,"lost",25,20.19635879,24,19.3733975620251,4.07479999999999
2339800,"lostcanoe",41,279.440255,40,272.514737216784,2.47835365853658
2317600,"lowarsugarbush",61,179.6425269,60,174.426785773985,2.9034
2479900,"lowerpine",102,96.1885202,101,93.7321860224927,2.55366666666666
1544700,"madeline",17,171.5228295,16,167.177012743235,2.53366666666667
2480800,"mallard",35,103.4814473,34,97.740296603796,5.548
1678200,"marinuka",7,116.5554182,6,100.567900003567,13.7166666666667
2171200,"marshmiller",14,440.5643212,13,418.894430787909,4.91866666666667
1003900,"mcgrath",20,51.0765315,19,49.069734577365,3.92899999999999
2481600,"mclain",30,142.8234536,29,139.448059313253,2.36333333333333
1587600,"mcnaughton",9,120.5718793,8,108.640086124472,9.896
2424800,"meadow",5,32.228427,4,25.9137776530489,19.59341468
2317700,"middlesugarbush",57,254.2579991,56,233.380027267235,8.21133333333333
2482900,"minnow",50,56.32483878,49,55.6219047920256,1.248
1005400,"mission",26,104.4413472,25,101.795847875424,2.53299999999999
1005700,"moccasin",30,94.23152632,29,92.026508604112,2.34
2103200,"montanis",14,211.6794412,13,203.960197577573,3.64666666666666
1544000,"mud",26,40.84188621,25,39.0165261756544,4.46933333333333
2094600,"mud",15,331.9245981,14,298.324977449664,10.1226666666667
2110900,"murphydamflowage",10,171.6693749,9,155.767640703013,9.26300000000001
1555500,"muskellunge",20,159.7085194,19,153.610528712269,3.8182
1596600,"muskellunge",19,269.8732007,18,260.505901903703,3.471
2405900,"muskellunge",8,20.84851596,7,20.3105547531788,2.58033333333334
1869700,"nebish",52,93.028742,51,91.40725102694,1.74299999999999
2486100,"nicaboyne",34,289.4537847,33,281.343289652706,2.80200000000001
2436000,"north",30,132.1597567,29,127.635487695637,3.42333333333333
2323800,"northplacidtown",23,33.26230122,22,31.956755897115,3.925
2310400,"northturtle",58,359.1540938,57,349.85200277058,2.59
2485900,"northtwin",20,98.31232708,19,93.4380019033736,4.958
2178100,"oliver",31,15.06305883,30,14.695339437842,2.44119999999999
1518200,"oneida",34,255.1588792,33,247.140766580019,3.1424
1872100,"pallette",60,180.2791629,59,176.514933978648,2.08800000000001
1009400,"paradise",48,81.37456359,47,78.668371103251,3.32559999999999
1872700,"payment",18,64.98304453,17,61.2346925554205,5.76820000000001
1481600,"pesobic",11,147.3001345,10,142.525155139958,3.24166666666667
1558400,"pickerel",14,48.96741494,13,46.0038090530013,6.0522
1619700,"pickerel",26,270.3290963,25,258.778835112089,4.27266666666666
2458900,"pickerel",43,15.00795993,42,14.1950687883515,5.41639999999999
2489200,"pickerel",38,88.82983141,37,84.290923124387,5.10966666666666
1529700,"pier",15,261.6463003,14,244.773253686254,6.4488
2157900,"pike",37,188.9219958,36,181.874575616674,3.73033333333332
2299900,"pike",80,213.7999468,79,209.258835929968,2.12399999999999
1012000,"pine",21,104.0144506,20,99.724894657256,4.124
1581700,"pine",32,242.0729673,31,230.592898898765,4.7424
2309700,"pine",21,186.6125955,20,178.890193073019,4.1382
1623400,"pioneer",27,429.4299403,26,414.438541084127,3.491
2436500,"placid",30,178.3478694,29,160.250316599084,10.1473333333333
1012500,"plainfield",12,29.37363108,11,28.083265889797,4.39293728
2098000,"poskin",30,153.5141227,29,149.804198068083,2.41666666666666
2355300,"potato",24,540.3491207,23,517.020087762898,4.31740000000001
2234600,"price",27,88.98419184,26,86.4321252180288,2.86800000000001
2426300,"redike",11,37.59118007,10,36.662677922271,2.47
1280400,"redstone",10,604.545156,9,578.299693277287,4.34135688000001
2263400,"riley",5,184.1882017,4,159.576728150246,13.36213358
1506200,"road",33,78.95164102,32,76.8232626813828,2.69579999999999
2139000,"rockdamlake",10,95.87259943,9,82.7773610738563,13.659
1878200,"round",5,107.8052199,4,92.236349392775,14.4416666666667
2169200,"round",18,215.790062,17,210.9887331205,2.225
1764500,"sackett",32,60.16933159,31,59.546783724166,1.03465976666667
2254800,"sailor",7,167.8489332,6,158.001236289156,5.867
1879700,"sallisbury",16,79.70700308,15,77.1743927641361,3.1774
1880000,"sand",13,14.84066603,12,14.0472840240362,5.346
1576100,"shepard",18,178.5943773,17,172.001030078839,3.6918
1736200,"sherwood",8,114.1307193,7,95.929913057498,15.9473333333333
1017400,"silver",39,79.52560568,38,77.3911384235488,2.684
1599800,"silver",19,57.48932465,18,55.5559586620205,3.363
2294500,"six",15,142.441453,14,133.666584690357,6.16033333333333
1018600,"snowden",11,134.7937433,10,129.168800392091,4.173
2323900,"southplacidtwin",26,35.56654097,25,34.727170603108,2.36
1881900,"sparkling",60,157.1651071,59,154.437978161601,1.7352
1882100,"spiderlakechain",62,40.8063223,61,39.4789742482256,3.2528
1513000,"spirit",9,136.7962745,8,130.334930467783,4.72333333333333
1611100,"spring",15,88.48540653,14,80.4089895343808,9.12739999999999
1402300,"springvillepond",10,13.95463597,9,12.733188194833,8.75298916999999
1882800,"statenaker",77,58.23119138,76,55.8281065741302,4.1268
2323600,"stearns",16,232.4818432,15,226.285737115034,2.6652
1575700,"stella",22,415.1614311,21,401.102681171517,3.38633333333333
1513800,"stone",16,86.83095319,15,81.2535116300957,6.42333333333333
2272700,"stone",14,249.2637904,13,242.468859473696,2.726
1884200,"street",22,45.98107281,21,45.3236967390597,1.42966666666667
1825100,"strum",8,54.86276102,7,45.7360246233816,16.6355761666667
1020400,"sugarcamp",38,519.1406664,37,496.76570367816,4.31
1020600,"sunday",43,87.01406359,42,84.5908959471457,2.7848
1020900,"sunset",30,207.2187808,29,202.221354536373,2.41166666666667
1572500,"sunset",16,34.48303389,15,32.7086059320884,5.1458
1528700,"swampsauger",15,135.6444717,14,129.890975788373,4.2416
2473500,"tahkodah",18,147.8271905,17,144.657282778378,2.14433333333333
1603600,"tambling",11,171.9966892,10,160.544805639686,6.6582
1269100,"tarrant",5,23.57459773,4,22.0654305653178,6.40166666666667
1714900,"tealflowage",10,15.50793079,9,14.3498502117054,7.46766666666666
1859400,"ten",37,42.01004652,36,41.2126958370504,1.898
1572200,"third",14,96.66354055,13,88.6625059715954,8.2772
2151200,"tildenmillpond",11,48.26914991,10,38.5974603425333,20.037
1342100,"tomah",17,245.4944985,16,219.90415197636,10.424
1586800,"tomdoyle",30,107.591252,29,105.441220147533,1.99833333333333
1023100,"townline",23,61.27204596,22,58.631220779124,4.31
2172600,"townline",26,44.8272166,25,41.7389799939928,6.8892
1711500,"trow",9,38.03135898,8,33.8034843543922,11.11681186
2269000,"tucker",32,106.8238084,31,104.151076713832,2.50200000000001
1482400,"tug",20,151.4506102,19,144.140392146866,4.82679999999999
1887500,"twoisland",38,29.40533518,37,28.4917114159574,3.107
1621800,"upperbuckatabon",47,493.003345,46,473.79987870556,3.8952
2330800,"uppergresham",32,362.1316805,31,346.85696621651,4.21799999999999
2098800,"uppervermilion",9,91.47292727,8,87.3228005597601,4.537
1176400,"vandercook",20,97.31094152,19,95.5624585227686,1.7968
1176700,"virgin",30,38.44157314,29,36.7383039173129,4.4308
1332700,"wazeda",12,51.51763249,11,47.9361266792952,6.952
1522900,"westhorsehead",23,145.2681853,22,138.186070730254,4.87519999999999
1177200,"westmitchell",13,54.98986694,12,51.2453374057155,6.80949007999999
2340500,"whitebirch",27,112.9189406,26,108.668671675816,3.764
1177600,"widley",22,44.77106502,21,43.797383897945,2.17480000000001
2336800,"wildcat",36,293.072607,35,280.9198628964,4.14666666666667
1529500,"willow",6,409.6227292,5,387.097575321292,5.499
2297000,"wilson",21,155.1961623,20,152.315204207171,1.85633333333333
2420000,"wilson",25,103.0643487,24,99.2790013009464,3.67280000000001
2046700,"wintergreen",15,49.62741362,14,46.6867908533605,5.9254
1177500,"witches",40,27.96778071,39,27.0216866241421,3.3828
1467100,"wood",33,62.24585105,32,59.5827660559108,4.27833333333334
